Date,Dividends
2012-05-31,0.7
2013-11-27,0.81
2014-05-29,0.81
2015-11-27,0.89
2008-06-05,0.375
2011-11-29,0.7
2016-08-30,0.89
2016-06-02,0.89
2008-02-28,0.375
2009-08-28,0.5
2010-02-25,0.55
2011-05-27,0.61
2009-11-27,0.55
2013-08-29,0.77
2014-02-27,0.81
2015-08-28,0.85
2016-02-26,0.89
2011-08-30,0.61
2012-02-28,0.7
2012-11-29,0.77
2013-05-30,0.77
2014-11-26,0.85
2015-05-28,0.85
2009-06-04,0.5
2010-11-29,0.61
2017-02-27,0.94
2007-11-13,1.5
2016-11-29,0.94
2017-06-01,0.94
2011-02-25,0.61
2008-08-28,0.375
2009-02-26,0.5
2010-05-27,0.55
2008-11-26,0.5
2012-08-30,0.7
2013-02-27,0.77
2014-08-28,0.81
2015-02-26,0.85
2010-08-30,0.55
